PANEL	Genetic_Stock_Acc	GS_IRIS_varname	Source_accno	Country_Origin (ISO standard)	Orytage	IN-PRAY	TJ-PRAY	3K_DNA_IRIS_UNIQUE_ID	TYPE	
829	3K-IRRI	IRGC 128171	STRAW 23-428::IRGC 38416-2	IRGC 38416	Bangladesh				IRIS 313-11229	ind2
830	3K-IRRI	IRGC 128172	STRAW 23-438::IRGC 38426-2	IRGC 38426	Bangladesh				IRIS 313-11230	ind2
831	3K-IRRI		STRAW 23-471::IRGC 38456-1	IRGC 38456	Bangladesh				IRIS 313-11231	ind2
832	3K-IRRI	IRGC 128442	R 146::IRGC 38606-1	IRGC 38606	India				IRIS 313-11232	aus
833	3K-IRRI	IRGC 127823	SPR 7284-57-5::IRGC 38649-1	IRGC 38649	Thailand				IRIS 313-11233	ind1B
834	3K-IRRI	IRGC 127563	LIGUNGTUNG::IRGC 38786-1	IRGC 38786	Philippines				IRIS 313-11234	indx
835	3K-IRRI	IRGC 128137	PINILING DANIEL::IRGC 38828-2	IRGC 38828	Philippines				IRIS 313-11235	indx
836	3K-IRRI	IRGC 128523	LIONG ORN::IRGC 38875-2	IRGC 38875					IRIS 313-11236	ind3
837	3K-IRRI	IRGC 127835	TAICHUNG SEN YU 214::IRGC 38899-1	IRGC 38899	Taiwan				IRIS 313-11237	ind1B
838	3K-IRRI		IAC 1132::IRGC 39052-1	IRGC 39052	Brazil				IRIS 313-11238	trop1
839	3K-IRRI	IRGC 127978	B 737 G-KN-23-1::IRGC 39203-2	IRGC 39203	Indonesia				IRIS 313-11239	indx
840	3K-IRRI	IRGC 128020	CR 157-392-4::IRGC 39247-2	IRGC 39247	India				IRIS 313-11240	indx
841	3K-IRRI	IRGC 128001	BR 116-3B-53::IRGC 39559-2	IRGC 39559	Bangladesh				IRIS 313-11241	ind2
842	3K-IRRI	IRGC 128121	OR 117-8::IRGC 39680-2	IRGC 39680	India				IRIS 313-11242	ind2
843	3K-IRRI	IRGC 127765	RATNAGIRI 45-2::IRGC 39709-1	IRGC 39709	India				IRIS 313-11243	admix
844	3K-IRRI		W 1014-162::IRGC 39871-1	IRGC 39871	India				IRIS 313-11244	indx
845	3K-IRRI	IRGC 128151	RP 20-12::IRGC 40031-2	IRGC 40031	India				IRIS 313-11245	indx
846	3K-IRRI		7516-14::IRGC 40090-3	IRGC 40090	Japan				IRIS 313-11246	temp
847	3K-IRRI		RP 1153-20-14::IRGC 40131-2	IRGC 40131	India				IRIS 313-11247	indx
848	3K-IRRI	IRGC 127676	NIAW KHAMIN::IRGC 40222-1	IRGC 40222	Thailand				IRIS 313-11248	trop1
849	3K-IRRI		IR 4535-PP 23-6-8-1::IRGC 40402-2	IRGC 40402	Philippines				IRIS 313-11249	indx
850	3K-IRRI	IRGC 127441	IR 9560-2-6-3::IRGC 40451-1	IRGC 40451	Philippines				IRIS 313-11250	ind1B
851	3K-IRRI		IR 4500-5-1-1::IRGC 40552-2	IRGC 40552	Philippines				IRIS 313-11251	ind1B
852	3K-IRRI		ADR 52::IRGC 40638-2	IRGC 40638	India				IRIS 313-11252	indx
853	3K-IRRI		SML CAMPONI::IRGC 40642-1	IRGC 40642	Surinam				IRIS 313-11253	indx
854	3K-IRRI	IRGC 128186	TIEN SOM::IRGC 40759-2	IRGC 40759	Viet Nam				IRIS 313-11254	ind3
855	3K-IRRI	IRGC 127167	ARC 7056::IRGC 40914-1	IRGC 40914	India				IRIS 313-11255	indx
856	3K-IRRI	IRGC 127941	ARC 12411::IRGC 41047-2	IRGC 41047	India				IRIS 313-11256	indx
857	3K-IRRI	IRGC 127944	ARC 12757::IRGC 41095-2	IRGC 41095	India				IRIS 313-11257	indx
858	3K-IRRI	IRGC 127948	ARC 13502::IRGC 41126-2	IRGC 41126	India				IRIS 313-11258	aro
859	3K-IRRI	IRGC 127949	ARC 13515::IRGC 41134-2	IRGC 41134	India				IRIS 313-11259	aro
860	3K-IRRI	IRGC 127950	ARC 13591::IRGC 41177-2	IRGC 41177	India				IRIS 313-11260	indx
861	3K-IRRI	IRGC 127951	ARC 13785::IRGC 41218-2	IRGC 41218	India				IRIS 313-11261	indx
862	3K-IRRI	IRGC 127952	ARC 13888::IRGC 41288-2	IRGC 41288	India				IRIS 313-11262	indx
863	3K-IRRI	IRGC 127953	ARC 13919::IRGC 41313-2	IRGC 41313	India				IRIS 313-11263	indx
864	3K-IRRI		ARC 13934::IRGC 41325-2	IRGC 41325	India				IRIS 313-11264	indx
865	3K-IRRI		ARC 14150::IRGC 41435-2	IRGC 41435	India				IRIS 313-11265	aus
866	3K-IRRI	IRGC 127955	ARC 14347::IRGC 41517-2	IRGC 41517	India				IRIS 313-11266	indx
867	3K-IRRI	IRGC 127956	ARC 14358::IRGC 41523-2	IRGC 41523	India				IRIS 313-11267	ind2
868	3K-IRRI	IRGC 127957	ARC 14398::IRGC 41544-2	IRGC 41544	India				IRIS 313-11268	aro
869	3K-IRRI	IRGC 127958	ARC 14632::IRGC 41650-2	IRGC 41650	India				IRIS 313-11269	indx
870	3K-IRRI	IRGC 127959	ARC 14663::IRGC 41671-2	IRGC 41671	India				IRIS 313-11270	aro
871	3K-IRRI	IRGC 127961	ARC 14737::IRGC 41729-2	IRGC 41729	India				IRIS 313-11271	ind2
872	3K-IRRI	IRGC 127153	ARC 14756::IRGC 41736-1	IRGC 41736	India				IRIS 313-11272	aus
873	3K-IRRI	IRGC 127962	ARC 14860::IRGC 41793-2	IRGC 41793	India				IRIS 313-11273	indx
874	3K-IRRI	IRGC 127155	ARC 14901::IRGC 41811-1	IRGC 41811	India				IRIS 313-11274	aus
875	3K-IRRI	IRGC 127156	ARC 14975::IRGC 41848-1	IRGC 41848	India				IRIS 313-11275	indx
876	3K-IRRI		ARC 15063::IRGC 41909-2	IRGC 41909	India				IRIS 313-11276	indx
877	3K-IRRI	IRGC 127157	ARC 15129::IRGC 41938-1	IRGC 41938	India				IRIS 313-11277	aus
878	3K-IRRI		ARC 15319::IRGC 42007-1	IRGC 42007	India				IRIS 313-11278	indx
879	3K-IRRI	IRGC 127967	ARC 15455::IRGC 42040-2	IRGC 42040	India				IRIS 313-11279	indx
880	3K-IRRI		ARC 15486::IRGC 42055-1	IRGC 42055	India				IRIS 313-11280	indx
881	3K-IRRI		ARC 15505::IRGC 42066-1	IRGC 42066	India				IRIS 313-11281	ind1A
882	3K-IRRI		ARC 15589::IRGC 42096-2	IRGC 42096	India				IRIS 313-11282	ind2
883	3K-IRRI		ARC 15743::IRGC 42127-2	IRGC 42127	India				IRIS 313-11283	indx
884	3K-IRRI		ARC 18001::IRGC 42195-2	IRGC 42195	India				IRIS 313-11284	indx
885	3K-IRRI		ARC 18064::IRGC 42237-1	IRGC 42237	India				IRIS 313-11285	ind2
886	3K-IRRI		ARC 18325::IRGC 42399-1	IRGC 42399	India				IRIS 313-11286	indx
887	3K-IRRI	IRGC 127969	ARC 18371::IRGC 42423-2	IRGC 42423	India				IRIS 313-11287	indx
888	3K-IRRI	IRGC 127970	ARC 18434::IRGC 42429-2	IRGC 42429	India				IRIS 313-11288	indx
889	3K-IRRI	IRGC 127971	ARC 18578::IRGC 42459-2	IRGC 42459	India				IRIS 313-11289	aro
890	3K-IRRI	IRGC 127165	ARC 6579::IRGC 42510-1	IRGC 42510	India				IRIS 313-11290	admix
891	3K-IRRI	IRGC 127170	ARC 7425::IRGC 42538-1	IRGC 42538	India				IRIS 313-11291	aus
892	3K-IRRI	IRGC 127929	ARC 10120::IRGC 42557-2	IRGC 42557	India				IRIS 313-11292	indx
893	3K-IRRI	IRGC 127934	ARC 10975::IRGC 42611-2	IRGC 42611	India				IRIS 313-11293	aro
894	3K-IRRI	IRGC 127936	ARC 11245::IRGC 42651-2	IRGC 42651	India				IRIS 313-11294	ind2
895	3K-IRRI	IRGC 127137	ARC 11397::IRGC 42664-1	IRGC 42664	India				IRIS 313-11295	admix
896	3K-IRRI	IRGC 127945	ARC 12800::IRGC 42720-2	IRGC 42720	India				IRIS 313-11296	indx
897	3K-IRRI	IRGC 127947	ARC 13460::IRGC 42732-2	IRGC 42732	India				IRIS 313-11297	admix
898	3K-IRRI	IRGC 127152	ARC 13544::IRGC 42743-1	IRGC 42743	India				IRIS 313-11298	aus
899	3K-IRRI	IRGC 127954	ARC 14299::IRGC 42889-2	IRGC 42889	India				IRIS 313-11299	indx
900	3K-IRRI	IRGC 127960	ARC 14709::IRGC 42976-2	IRGC 42976	India				IRIS 313-11300	ind2
901	3K-IRRI	IRGC 127963	ARC 14868::IRGC 43009-2	IRGC 43009	India				IRIS 313-11301	ind2
902	3K-IRRI	IRGC 127154	ARC 14899::IRGC 43016-1	IRGC 43016	India				IRIS 313-11302	indx
903	3K-IRRI	IRGC 128228	ARC 15097::IRGC 43053-1	IRGC 43053	India				IRIS 313-11303	indx
904	3K-IRRI	IRGC 127158	ARC 15163::IRGC 43106-1	IRGC 43106	India				IRIS 313-11304	indx
905	3K-IRRI	IRGC 127964	ARC 15373::IRGC 43166-2	IRGC 43166	India				IRIS 313-11305	indx
906	3K-IRRI	IRGC 127159	ARC 15385::IRGC 43174-1	IRGC 43174	India				IRIS 313-11306	indx
907	3K-IRRI	IRGC 127965	ARC 15387::IRGC 43175-2	IRGC 43175	India				IRIS 313-11307	indx
908	3K-IRRI	IRGC 127966	ARC 15403::IRGC 43183-2	IRGC 43183	India				IRIS 313-11308	ind2
909	3K-IRRI	IRGC 128229	ARC 15862::IRGC 43242-1	IRGC 43242	India				IRIS 313-11309	indx
910	3K-IRRI	IRGC 127968	ARC 15929::IRGC 43269-2	IRGC 43269	India				IRIS 313-11310	ind2
911	3K-IRRI		CICIH KAPUK::IRGC 43377-1	IRGC 43377	Indonesia				IRIS 313-11311	trop1
912	3K-IRRI		PADI HITAM::IRGC 43496-1	IRGC 43496	Indonesia				IRIS 313-11312	ind3
913	3K-IRRI	IRGC 128420	PADI RENDAH::IRGC 43515-1	IRGC 43515	Indonesia				IRIS 313-11313	trop1
914	3K-IRRI		PELAU::IRGC 43538-2	IRGC 43538	Indonesia				IRIS 313-11314	trop1
915	3K-IRRI	IRGC 128131	PENDEK LAYUNG::IRGC 43542-2	IRGC 43542	Indonesia				IRIS 313-11315	ind3
916	3K-IRRI		RANTAT::IRGC 43563-1	IRGC 43563	Indonesia				IRIS 313-11316	ind3
917	3K-IRRI	IRGC 128167	SI RANTING::IRGC 43645-2	IRGC 43645	Indonesia				IRIS 313-11317	ind3
918	3K-IRRI	IRGC 128195	TUBU::IRGC 43677-2	IRGC 43677	Indonesia				IRIS 313-11318	ind3
919	3K-IRRI		KENCANA RANDAH::IRGC 43709-2	IRGC 43709	Indonesia				IRIS 313-11319	ind3
920	3K-IRRI		MAYAS PUTIH::IRGC 43727-2	IRGC 43727	Indonesia				IRIS 313-11320	ind3
921	3K-IRRI	IRGC 128043	GANDHISAIL::IRGC 43826-2	IRGC 43826	Bangladesh				IRIS 313-11321	ind2
922	3K-IRRI	IRGC 127449	JASURE AUS::IRGC 43860-1	IRGC 43860	Bangladesh				IRIS 313-11322	aus
923	3K-IRRI	IRGC 127455	JHORA::IRGC 43862-1	IRGC 43862	Bangladesh				IRIS 313-11323	aus
924	3K-IRRI	IRGC 127477	KALABOKRI::IRGC 43872-1	IRGC 43872	Bangladesh				IRIS 313-11324	aus
925	3K-IRRI		BLM 70::IRGC 43989-1	IRGC 43989	Philippines				IRIS 313-11325	indx
926	3K-IRRI	IRGC 127237	BR 51-115-4::IRGC 43999-1	IRGC 43999	Bangladesh				IRIS 313-11326	indx
927	3K-IRRI	IRGC 128061	JAO' HAWN MAE JAN::IRGC 44022-2	IRGC 44022	Thailand				IRIS 313-11327	ind3
928	3K-IRRI	IRGC 127699	PADI BURIH::IRGC 44081-1	IRGC 44081	Malaysia				IRIS 313-11328	trop1
929	3K-IRRI	IRGC 127701	PADI JALAI BELA::IRGC 44084-1	IRGC 44084	Malaysia				IRIS 313-11329	trop1
930	3K-IRRI		ALAMINOS::IRGC 44268-2	IRGC 44268	Philippines				IRIS 313-11330	ind3
931	3K-IRRI		AMPIPIT::IRGC 44272-2	IRGC 44272	Philippines				IRIS 313-11331	ind3
932	3K-IRRI		DINGRAS::IRGC 44402-1	IRGC 44402	Philippines				IRIS 313-11334	ind3
933	3K-IRRI		INANUPAN::IRGC 44461-2	IRGC 44461	Philippines				IRIS 313-11335	ind2
934	3K-IRRI	IRGC 128519	IREQUIN::IRGC 44476-2	IRGC 44476	Philippines				IRIS 313-11336	temp
935	3K-IRRI		LAWA AN::IRGC 44544-2	IRGC 44544	Philippines				IRIS 313-11337	trop1
936	3K-IRRI	IRGC 128097	LOBANG (WHITE)::IRGC 44548-2	IRGC 44548	Philippines				IRIS 313-11338	indx
937	3K-IRRI	IRGC 128109	MILAGROSA::IRGC 44634-2	IRGC 44634	Philippines				IRIS 313-11339	ind2
938	3K-IRRI		MINANOK::IRGC 44637-2	IRGC 44637	Philippines				IRIS 313-11340	trop1
939	3K-IRRI	IRGC 128110	MINDANAO::IRGC 44642-2	IRGC 44642	Philippines				IRIS 313-11341	ind3
940	3K-IRRI		PODAO::IRGC 44701-1	IRGC 44701	Philippines				IRIS 313-11342	indx
941	3K-IRRI		PURTOK (MALAGKIT)::IRGC 44707-2	IRGC 44707	Philippines				IRIS 313-11343	ind3
942	3K-IRRI	IRGC 128157	SAMON::IRGC 44735-2	IRGC 44735	Philippines				IRIS 313-11344	ind3
943	3K-IRRI	IRGC 127891	WAGWAG::IRGC 44802-1	IRGC 44802	Philippines				IRIS 313-11345	indx
944	3K-IRRI		WAGWAG PUTI::IRGC 44804-2	IRGC 44804	Philippines				IRIS 313-11346	ind1B
945	3K-IRRI	IRGC 127892	WAGWAG RAOIS::IRGC 44805-1	IRGC 44805	Philippines				IRIS 313-11347	indx
946	3K-IRRI	IRGC 127192	AUS PADDY (RED)::IRGC 44978-1	IRGC 44978	India				IRIS 313-11348	aus
947	3K-IRRI	IRGC 127980	BACHHAIKALMA::IRGC 45003-2	IRGC 45003	India				IRIS 313-11349	ind2
948	3K-IRRI	IRGC 127983	BAJAL::IRGC 45024-2	IRGC 45024	India				IRIS 313-11350	aro
949	3K-IRRI	IRGC 127986	BANCHI::IRGC 45055-2	IRGC 45055	India				IRIS 313-11351	ind2
950	3K-IRRI	IRGC 128004	BUCHI::IRGC 45237-2	IRGC 45237	India				IRIS 313-11352	aro
951	3K-IRRI	IRGC 128013	CHILE BORO::IRGC 45297-2	IRGC 45297	India				IRIS 313-11353	aus
952	3K-IRRI	IRGC 128008	CAC 75::IRGC 45352-2	IRGC 45352	India				IRIS 313-11354	ind2
953	3K-IRRI	IRGC 127286	CN 44-40-7::IRGC 45368-1	IRGC 45368	India				IRIS 313-11355	indx
954	3K-IRRI		CR 44-1::IRGC 45397-1	IRGC 45397	India				IRIS 313-11356	aro
955	3K-IRRI	IRGC 128021	CR 579-1-3::IRGC 45443-2	IRGC 45443	India				IRIS 313-11357	ind1B
956	3K-IRRI	IRGC 128023	DADKHANI::IRGC 45454-2	IRGC 45454	India				IRIS 313-11358	ind2
957	3K-IRRI	IRGC 128024	DAHARNAGRA::IRGC 45465-2	IRGC 45465	India				IRIS 313-11359	ind2
958	3K-IRRI		JALADHI 1::IRGC 45858-2	IRGC 45858	India				IRIS 313-11360	aro
959	3K-IRRI	IRGC 128067	KALIKALMA::IRGC 45996-2	IRGC 45996	India				IRIS 313-11361	ind2
960	3K-IRRI	IRGC 128080	KEYA NUNIA::IRGC 46117-2	IRGC 46117	India				IRIS 313-11362	aro
961	3K-IRRI	IRGC 128089	KHEJURTHUPI::IRGC 46137-2	IRGC 46137	India				IRIS 313-11363	ind2
962	3K-IRRI		KHIRPULI::IRGC 46143-1	IRGC 46143	India				IRIS 313-11364	indx
963	3K-IRRI	IRGC 128095	LANJALI::IRGC 46236-2	IRGC 46236	India				IRIS 313-11365	indx
964	3K-IRRI	IRGC 128103	MAKARANDASAIL::IRGC 46289-2	IRGC 46289	India				IRIS 313-11367	ind2
965	3K-IRRI	IRGC 128128	PANIKELASH::IRGC 46500-2	IRGC 46500	India				IRIS 313-11368	ind2
966	3K-IRRI	IRGC 128146	RANACHANDRABHOG::IRGC 46567-2	IRGC 46567	India				IRIS 313-11369	ind2
967	3K-IRRI		SACHI::IRGC 46612-2	IRGC 46612	India				IRIS 313-11370	ind2
968	3K-IRRI	IRGC 127788	SATHI::IRGC 46659-1	IRGC 46659	India				IRIS 313-11371	aus
969	3K-IRRI	IRGC 128173	SUFALDHULA::IRGC 46698-2	IRGC 46698	India				IRIS 313-11372	ind2
970	3K-IRRI	IRGC 128177	T 3::IRGC 46760-2	IRGC 46760	India				IRIS 313-11373	aro
971	3K-IRRI	IRGC 127889	W 398::IRGC 46787-1	IRGC 46787	India				IRIS 313-11374	aus
972	3K-IRRI	IRGC 128018	CODE NO 31225::IRGC 46865-2	IRGC 46865	India				IRIS 313-11375	aro
973	3K-IRRI		TOS 7536::IRGC 46985-2	IRGC 46985	Cote d'Ivoire				IRIS 313-11376	trop1
974	3K-IRRI	IRGC 127119	AMARILLO::IRGC 47120-1	IRGC 47120	Philippines				IRIS 313-11377	indx
975	3K-IRRI	IRGC 127245	CADIDIT (GLUT)::IRGC 47161-1	IRGC 47161	Philippines				IRIS 313-11379	trop1
976	3K-IRRI	IRGC 128253	CA ONG (WHITE)::IRGC 47174-1	IRGC 47174	Philippines				IRIS 313-11380	trop1
977	3K-IRRI		LINANGAN::IRGC 47255-2	IRGC 47255	Philippines				IRIS 313-11381	ind3
978	3K-IRRI		HONDERAWALA::IRGC 47372-1	IRGC 47372	Sri Lanka				IRIS 313-11382	indx
979	3K-IRRI	IRGC 127274	CHIEM NGAN::IRGC 47488-1	IRGC 47488	Viet Nam				IRIS 313-11383	indx
980	3K-IRRI	IRGC 127275	CHIEM TONG NHAT 1::IRGC 47496-1	IRGC 47496	Viet Nam				IRIS 313-11384	indx
981	3K-IRRI	IRGC 127442	IR 9747 SEL::IRGC 47695-1	IRGC 47695	Philippines				IRIS 313-11385	indx
982	3K-IRRI	IRGC 128083	KHAO DAWK MALI TIA::IRGC 47773-2	IRGC 47773	Thailand				IRIS 313-11386	ind3
983	3K-IRRI		SAHM RUANG NAK::IRGC 47818-1	IRGC 47818	Thailand				IRIS 313-11387	ind3
984	3K-IRRI		GLAM::IRGC 47978-2	IRGC 47978	Thailand				IRIS 313-11388	ind3
985	3K-IRRI		LEUANG PRA TAHN::IRGC 48292-2	IRGC 48292	Thailand				IRIS 313-11389	ind3
986	3K-IRRI	IRGC 128114	NAH MOI::IRGC 48353-2	IRGC 48353	Thailand				IRIS 313-11390	ind3
987	3K-IRRI		NIAW DAM::IRGC 48387-2	IRGC 48387	Thailand				IRIS 313-11391	ind3
988	3K-IRRI	IRGC 128156	SA MER::IRGC 48454-2	IRGC 48454	Thailand				IRIS 313-11392	ind3
989	3K-IRRI		SAWNG RUANG::IRGC 48458-2	IRGC 48458	Thailand				IRIS 313-11393	ind3
990	3K-IRRI	IRGC 128057	INDO NO 13030::IRGC 48630-2	IRGC 48630	Indonesia				IRIS 313-11394	indx
991	3K-IRRI		INDO NO 13075::IRGC 48665-1	IRGC 48665	Indonesia				IRIS 313-11395	ind3
992	3K-IRRI	IRGC 128385	MAS::IRGC 48758-1	IRGC 48758	Indonesia				IRIS 313-11396	trop1
993	3K-IRRI		TAMBU::IRGC 48932-1	IRGC 48932	Indonesia				IRIS 313-11397	trop1
994	3K-IRRI	IRGC 128190	TODULI::IRGC 48942-2	IRGC 48942	Indonesia				IRIS 313-11398	ind3
995	3K-IRRI	IRGC 128148	RAYDHAN 1::IRGC 49127-2	IRGC 49127	Bangladesh				IRIS 313-11399	indx
996	3K-IRRI		ECHORSAIL::IRGC 49182-1	IRGC 49182	Bangladesh				IRIS 313-11400	indx
997	3K-IRRI	IRGC 128113	MOTANGA::IRGC 49242-2	IRGC 49242	Bangladesh				IRIS 313-11401	aro
998	3K-IRRI	IRGC 128174	SUITE JORA::IRGC 49257-2	IRGC 49257	Bangladesh				IRIS 313-11402	indx
999	3K-IRRI	IRGC 127923	AEB 368 RIP P TYPE ADT::IRGC 49359-2	IRGC 49359	India				IRIS 313-11403	indx
1000	3K-IRRI	IRGC 127925	AMON 4::IRGC 49375-2	IRGC 49375	Bangladesh				IRIS 313-11404	ind2
1001	3K-IRRI		APYO DAW GYI::IRGC 49386-2	IRGC 49386	Myanmar				IRIS 313-11405	ind3
1002	3K-IRRI	IRGC 127921	A 28-6::IRGC 49409-2	IRGC 49409	Myanmar				IRIS 313-11406	ind3
1003	3K-IRRI	IRGC 127989	BATCHA BHOG (SCENTED)::IRGC 49440-2	IRGC 49440	India				IRIS 313-11407	ind2
1004	3K-IRRI	IRGC 128016	CHITRAKALI::IRGC 49524-2	IRGC 49524	India				IRIS 313-11408	ind2
1005	3K-IRRI	IRGC 127289	CUTTACK 29::IRGC 49573-1	IRGC 49573	India				IRIS 313-11409	ind2
1006	3K-IRRI		C 28-16::IRGC 49580-1	IRGC 49580	Myanmar				IRIS 313-11410	indx
1007	3K-IRRI	IRGC 127342	DONRADAO::IRGC 49604-1	IRGC 49604	Brazil				IRIS 313-11411	ind2
1008	3K-IRRI		KALAR KAR::IRGC 49737-2	IRGC 49737					IRIS 313-11413	aus
1009	3K-IRRI	IRGC 127495	KARUNJEERAGA SAMBA::IRGC 49774-1	IRGC 49774	India				IRIS 313-11414	indx
1010	3K-IRRI		KAUSHI::IRGC 49789-1	IRGC 49789	Nigeria				IRIS 313-11415	admix
1011	3K-IRRI	IRGC 127529	KONAMANI::IRGC 49806-1	IRGC 49806	India				IRIS 313-11416	ind2
1012	3K-IRRI		LAWANGAI::IRGC 49850-2	IRGC 49850	India				IRIS 313-11417	admix
1013	3K-IRRI	IRGC 128106	MATALI::IRGC 49891-2	IRGC 49891	India				IRIS 313-11418	ind2
1014	3K-IRRI		MUTHA SAMBA::IRGC 49924-2	IRGC 49924	India				IRIS 313-11419	indx
1015	3K-IRRI	IRGC 128138	PISINI::IRGC 50035-2	IRGC 50035	India				IRIS 313-11420	ind2
1016	3K-IRRI	IRGC 128196	TULASIBAS::IRGC 50192-2	IRGC 50192	India				IRIS 313-11421	ind2
1017	3K-IRRI	IRGC 127095	13946 (GUANG QIU 15)::IRGC 50320-1	IRGC 50320	China				IRIS 313-11422	ind1A
1018	3K-IRRI	IRGC 127243	C 1016-1::IRGC 50368-1	IRGC 50368	Philippines				IRIS 313-11423	indx
1019	3K-IRRI	IRGC 127807	SINAPLED::IRGC 50402-1	IRGC 50402	Philippines				IRIS 313-11424	trop1
1020	3K-IRRI	IRGC 128003	BRANCO PRECOCE::IRGC 50441-2	IRGC 50441	Brazil				IRIS 313-11425	admix
1021	3K-IRRI	IRGC 128260	CHATAO::IRGC 50456-1	IRGC 50456	Brazil				IRIS 313-11426	trop1
1022	3K-IRRI	IRGC 128295	GEM OU BRAZIL::IRGC 50470-1	IRGC 50470	Brazil				IRIS 313-11427	trop1
1023	3K-IRRI	IRGC 128382	MARANHAO BRANCO::IRGC 50503-1	IRGC 50503	Brazil				IRIS 313-11428	trop1
1024	3K-IRRI	IRGC 128388	MIUDO ROXO::IRGC 50517-1	IRGC 50517	Brazil				IRIS 313-11429	trop1
1025	3K-IRRI	IRGC 127244	C 166-135::IRGC 50633-1	IRGC 50633	Philippines				IRIS 313-11431	ind3
1026	3K-IRRI	IRGC 127443	ISWAR KORA::IRGC 50674-1	IRGC 50674	India				IRIS 313-11432	admix
1027	3K-IRRI	IRGC 127635	MR 136-1::IRGC 50707-1	IRGC 50707	India				IRIS 313-11433	ind1A
1028	3K-IRRI	IRGC 127370	FORTUNA BLANCO (SAN MARCOS)::IRGC 50764-1	IRGC 50764	Colombia				IRIS 313-11434	trop1
1029	3K-IRRI	IRGC 128392	MONMINEUPLEU::IRGC 50873-1	IRGC 50873	Cote d'Ivoire				IRIS 313-11435	trop1
1030	3K-IRRI	IRGC 127779	SAKAZELE (538)::IRGC 50880-1	IRGC 50880	Cote d'Ivoire				IRIS 313-11436	trop1
1031	3K-IRRI	IRGC 127246	CAMPECHE A 79::IRGC 51102-1	IRGC 51102	Mexico				IRIS 313-11437	ind1B
1032	3K-IRRI	IRGC 127909	ZACATEPEC A 79::IRGC 51116-1	IRGC 51116	Mexico				IRIS 313-11438	indx
1033	3K-IRRI	IRGC 127680	NIRA PRIETO::IRGC 51145-1	IRGC 51145	Cuba				IRIS 313-11439	trop1
1034	3K-IRRI	IRGC 128399	NALA::IRGC 51247-1	IRGC 51247	Philippines				IRIS 313-11441	trop1
1035	3K-IRRI		ARC 18502::IRGC 51749-2	IRGC 51749	India				IRIS 313-11442	indx
1036	3K-IRRI	IRGC 127161	ARC 18533::IRGC 51756-1	IRGC 51756	India				IRIS 313-11443	indx
1037	3K-IRRI	IRGC 127653	NCS 102::IRGC 51854-1	IRGC 51854	India				IRIS 313-11445	ind2
1038	3K-IRRI	IRGC 127647	NAPDAI::IRGC 52009-1	IRGC 52009	India				IRIS 313-11446	ind2
1039	3K-IRRI	IRGC 128492	TUNAGANNAPNANG::IRGC 52046-1	IRGC 52046	India				IRIS 313-11447	indx
1040	3K-IRRI	IRGC 127209	BARAMANJ::IRGC 52067-1	IRGC 52067	India				IRIS 313-11448	ind2
1041	3K-IRRI	IRGC 127526	KODIA PHUL::IRGC 52168-1	IRGC 52168	India				IRIS 313-11449	indx
1042	3K-IRRI	IRGC 128330	KALISAL::IRGC 52324-1	IRGC 52324	India				IRIS 313-11451	aro
1043	3K-IRRI	IRGC 127571	LOCAL BHAT::IRGC 52343-1	IRGC 52343	India				IRIS 313-11452	aus
1044	3K-IRRI	IRGC 127916	ZINYA KOLAMBA::IRGC 52402-1	IRGC 52402	India				IRIS 313-11453	ind2
1045	3K-IRRI	IRGC 127211	BARI SUTAR::IRGC 52410-1	IRGC 52410	India				IRIS 313-11454	aus
1046	3K-IRRI	IRGC 128268	CIPPI::IRGC 52415-1	IRGC 52415	India				IRIS 313-11455	aus
1047	3K-IRRI	IRGC 127528	KOLAMBA::IRGC 52456-1	IRGC 52456	India				IRIS 313-11456	aus
1048	3K-IRRI	IRGC 128333	KARAHANI::IRGC 52664-1	IRGC 52664	India				IRIS 313-11458	aus
1049	3K-IRRI	IRGC 127792	SELHI::IRGC 52760-1	IRGC 52760	India				IRIS 313-11460	ind2
1050	3K-IRRI	IRGC 127881	VAIKATHARYAN::IRGC 52805-1	IRGC 52805	India				IRIS 313-11461	ind2
1051	3K-IRRI	IRGC 127780	SALSI::IRGC 52833-1	IRGC 52833	India				IRIS 313-11462	aus
1052	3K-IRRI	IRGC 127499	KATSIYAM TABAO::IRGC 52855-1	IRGC 52855	Philippines				IRIS 313-11463	indx
1053	3K-IRRI	IRGC 128254	CARAWI::IRGC 52887-1	IRGC 52887	Philippines				IRIS 313-11464	trop1
1054	3K-IRRI	IRGC 128280	DINORADO::IRGC 52893-1	IRGC 52893	Philippines				IRIS 313-11465	trop1
1055	3K-IRRI	IRGC 128372	MACAPAGAL::IRGC 52927-1	IRGC 52927	Philippines				IRIS 313-11467	ind3
1056	3K-IRRI		CULALANSI::IRGC 53109-1	IRGC 53109	Philippines				IRIS 313-11471	indx
1057	3K-IRRI		BANGBANG::IRGC 53131-1	IRGC 53131	Philippines				IRIS 313-11472	ind3
1058	3K-IRRI		KINTOMAN (TOD DOY)::IRGC 53146-1	IRGC 53146	Philippines				IRIS 313-11473	trop1
1059	3K-IRRI	IRGC 128329	KALIPINCH::IRGC 53271-1	IRGC 53271	India				IRIS 313-11476	aus
1060	3K-IRRI	IRGC 127489	KANPURI::IRGC 53278-1	IRGC 53278	India				IRIS 313-11477	aus
